Country,City,Year,AQI,PM2.5,PM10,Deforestation_Rate_%,Afforestation_Rate_%,Vehicles_Increase_%,Industries_Increase_%,Env_Budget_Million_USD,Population_Density_Per_SqKm,CO2_Emissions_MT,Green_Space_Ratio_%,Avg_Life_Expectancy_Index,Region,Income group,Population_Density_Category,AQI_category,Decade,CO2_per_Population,PM_Ratio,Net_Forest_Change_%,Pollution_Health_Impact
Australia,Adelaide,2014,138.28,72.35,98.81,2.28,1.41,8.72,6.4,156.77,4523.31,173.98,37.42,76.09,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.03845448256198182,0.7322133387308976,-0.8699999999999999,1.7937475677779218
Australia,Adelaide,2014,68.65,46.41,61.05,3.58,0.74,7.01,2.73,284.5,815.06,134.61,37.83,80.99,East Asia & Pacific,High income,High,Moderate,2010s,0.16495110653628411,0.7601965601965601,-2.84,0.8372972313696794
Australia,Adelaide,2014,82.77,36.87,62.18,2.55,2.74,9.79,5.4,300.96,687.96,158.5,44.99,80.08,East Asia & Pacific,High income,High,Moderate,2010s,0.23005689735253135,0.5929559343840463,0.1900000000000004,1.02084361124815
Australia,Adelaide,2014,72.21,33.72,64.76,2.18,2.61,5.99,6.19,388.0,3206.83,162.98,42.43,80.96,East Asia & Pacific,High income,Very High,Moderate,2010s,0.050806931788779326,0.5206917850525015,0.4299999999999997,0.8810395314787701
Australia,Adelaide,2014,56.16,34.39,61.76,0.95,0.56,9.34,4.01,499.31,4241.7,140.58,36.5,82.25,East Asia & Pacific,High income,Very High,Moderate,2010s,0.03313456053927924,0.5568329015544041,-0.3899999999999999,0.6745945945945946
Australia,Adelaide,2014,57.33,23.23,42.69,2.09,1.53,7.11,3.88,106.27,2389.36,111.43,40.1,81.39,East Asia & Pacific,High income,Very High,Moderate,2010s,0.04661640924379591,0.5441555399390958,-0.5599999999999998,0.6958368734069669
Australia,Adelaide,2014,40.8,18.69,35.04,1.43,0.5,6.25,4.43,453.66,315.67,136.61,39.76,83.19,East Asia & Pacific,High income,Moderate,Good,2010s,0.4313954589951685,0.5333904109589042,-0.9299999999999999,0.48461812566813156
Australia,Adelaide,2014,45.22,21.12,46.94,3.03,1.84,3.96,6.23,479.51,853.06,136.52,41.64,82.94,East Asia & Pacific,High income,High,Good,2010s,0.15984825422101495,0.4499360886237751,-1.1899999999999997,0.538718131999047
Australia,Adelaide,2014,43.77,37.41,47.0,1.79,1.11,6.92,2.67,381.13,1567.78,115.3,39.98,82.84,East Asia & Pacific,High income,High,Good,2010s,0.07349660245541122,0.7959574468085105,-0.6799999999999999,0.5220658396946565
Australia,Adelaide,2014,86.09,37.41,74.01,2.86,0.93,9.53,3.5,395.46,4113.2,132.81,35.81,80.05,East Asia & Pacific,High income,Very High,Moderate,2010s,0.032280880851684415,0.5054722334819618,-1.9299999999999997,1.0621838371375696
Australia,Adelaide,2014,46.89,23.19,50.97,2.09,2.0,4.69,3.56,105.06,819.53,117.66,43.1,82.08,East Asia & Pacific,High income,High,Good,2010s,0.1433951226646192,0.45497351383166573,-0.08999999999999986,0.5643957631198845
Australia,Adelaide,2014,52.02,22.12,40.93,1.25,2.15,6.38,2.98,147.88,1202.17,109.6,44.0,81.22,East Asia & Pacific,High income,High,Moderate,2010s,0.09109269679263943,0.5404348888345957,0.8999999999999999,0.6326927754804185
Australia,Adelaide,2014,136.98,71.3,115.5,3.88,2.4,9.7,5.94,198.11,1299.78,154.7,42.01,76.26,East Asia & Pacific,High income,High,Sensitive,2010s,0.11892864281431141,0.6173160173160173,-1.48,1.7729743722495468
Australia,Adelaide,2014,54.78,35.71,49.13,3.1,2.76,4.78,5.26,436.91,2899.32,127.84,42.28,82.22,East Asia & Pacific,High income,Very High,Moderate,2010s,0.04407789485298174,0.726847140240179,-0.3400000000000003,0.6582552271088681
Australia,Adelaide,2014,68.16,28.2,72.28,2.52,0.53,8.22,7.31,467.61,2008.45,167.82,37.06,81.39,East Asia & Pacific,High income,Very High,Moderate,2010s,0.08351538978327402,0.3901494189263973,-1.99,0.8272848646680422
Australia,Adelaide,2014,69.57,37.06,66.51,2.95,0.92,9.53,6.28,404.74,1062.52,170.07,38.75,81.17,East Asia & Pacific,High income,High,Moderate,2010s,0.1599123664811193,0.5572094421891445,-2.0300000000000002,0.8466593647316538
Australia,Adelaide,2014,97.12,47.07,77.47,2.32,2.15,4.45,5.33,146.88,467.55,102.13,43.66,78.82,East Asia & Pacific,High income,Moderate,Moderate,2010s,0.21797033400917723,0.6075900348522009,-0.16999999999999993,1.2167376597344026
Australia,Adelaide,2014,69.315,54.28,101.35,3.75,2.17,9.48,5.82,147.37,3354.01,169.49,39.42,77.68,East Asia & Pacific,High income,Very High,Moderate,2010s,0.05051847833538499,0.5355698075974347,-1.58,0.8809735638027452
Australia,Adelaide,2014,63.56,29.06,49.94,3.34,0.67,5.16,3.46,209.17,699.14,93.7,37.98,81.18,East Asia & Pacific,High income,High,Moderate,2010s,0.1338303767817865,0.5818982779335202,-2.67,0.7734241908006814
Australia,Adelaide,2014,113.65,73.03,100.39,1.58,2.17,9.69,2.81,171.78,4033.26,138.87,40.91,77.77,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.03442266983288137,0.7274628947106285,0.5899999999999999,1.4428081757014093
Australia,Adelaide,2015,45.96,21.02,44.66,2.94,2.44,4.31,6.47,340.38,278.78,148.01,44.09,82.62,East Asia & Pacific,High income,Moderate,Good,2010s,0.5290228036314247,0.47066726377071205,-0.5,0.5496292752929921
Australia,Adelaide,2015,113.41,57.91,120.22,3.77,2.45,8.84,6.47,322.98,4883.07,156.63,38.7,78.09,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.03206956493252554,0.48170021627017134,-1.3199999999999998,1.4339360222531292
Australia,Adelaide,2015,56.21,36.96,40.76,1.91,1.19,4.93,5.81,110.76,1704.25,123.17,39.94,81.47,East Asia & Pacific,High income,High,Moderate,2010s,0.07222987831696233,0.9067713444553485,-0.72,0.6815811810355281
Australia,Adelaide,2015,121.62,53.44,93.93,2.08,1.03,7.41,7.3,203.7,2970.96,176.35,38.04,77.3,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.05933794532900846,0.5689343127861173,-1.05,1.553256704980843
Australia,Adelaide,2015,62.29,38.2,59.48,2.94,1.79,7.94,6.78,477.53,3128.05,156.55,39.31,81.8,East Asia & Pacific,High income,Very High,Moderate,2010s,0.050031159617136195,0.6422326832548757,-1.15,0.7522946859903382
Australia,Adelaide,2015,89.61,38.18,63.28,3.22,0.83,6.43,6.38,438.35,1136.74,154.4,38.12,79.9,East Asia & Pacific,High income,High,Moderate,2010s,0.13570763091743282,0.6033501896333755,-2.39,1.107663782447466
Australia,Adelaide,2015,100.37,58.29,80.56,2.45,2.48,5.8,7.24,457.0,1797.14,170.6,43.18,79.22,East Asia & Pacific,High income,High,Sensitive,2010s,0.09487581612110291,0.7235600794438927,0.029999999999999805,1.2511842433308402
Australia,Adelaide,2015,94.36,62.64,103.79,3.34,0.96,7.58,7.42,481.82,1593.36,167.68,37.97,79.67,East Asia & Pacific,High income,High,Moderate,2010s,0.10517072681201235,0.6035263512862511,-2.38,1.1697037312507748
Australia,Adelaide,2015,90.39,47.03,64.67,3.27,1.18,5.79,2.83,330.25,3510.31,131.11,36.77,79.63,East Asia & Pacific,High income,Very High,Moderate,2010s,0.03733934058798569,0.7272305551260244,-2.09,1.1210467567902767
Australia,Adelaide,2015,106.36,61.83,80.08,3.39,1.26,6.25,6.18,131.42,1154.82,113.18,39.24,78.17,East Asia & Pacific,High income,High,Sensitive,2010s,0.09792182173694867,0.7721028971028971,-2.13,1.343438171024378
Australia,Adelaide,2015,38.75,16.69,40.8,1.59,1.84,5.27,3.32,451.99,2600.34,107.7,41.33,83.32,East Asia & Pacific,High income,Very High,Good,2010s,0.041401739103692714,0.40906862745098044,0.25,0.4595588235294118
Australia,Adelaide,2015,68.09,37.11,50.05,0.69,2.38,6.76,6.48,291.29,4240.02,174.3,42.21,81.04,East Asia & Pacific,High income,Very High,Moderate,2010s,0.04109860363780411,0.7414585414585415,1.69,0.8299609946367625
Australia,Adelaide,2015,77.82,33.24,64.33,2.89,2.54,4.27,7.35,328.38,3089.29,157.63,41.65,80.47,East Asia & Pacific,High income,Very High,Moderate,2010s,0.05100815781043203,0.5167107103995026,-0.3500000000000001,0.9551982324782128
Australia,Adelaide,2015,80.42,47.6,86.78,3.56,0.73,4.44,2.12,487.82,2427.87,88.68,36.21,80.61,East Asia & Pacific,High income,Very High,Moderate,2010s,0.03651080543627284,0.5485134823692095,-2.83,0.9854184536208799
Australia,Adelaide,2015,15.66,7.24,15.85,0.82,0.8,8.28,2.39,440.76,577.19,102.64,41.0,84.84,East Asia & Pacific,High income,High,Good,2010s,0.1775195005102129,0.45678233438485805,-0.019999999999999907,0.18243243243243243
Australia,Adelaide,2015,80.92,36.42,72.27,2.52,0.5,8.4,7.09,199.59,3330.21,185.73,35.66,80.0,East Asia & Pacific,High income,Very High,Moderate,2010s,0.055754515626454046,0.5039435450394355,-2.02,0.9990123456790123
Australia,Adelaide,2015,46.98,23.14,33.87,2.83,2.06,3.87,3.77,246.46,4891.26,115.74,38.47,82.36,East Asia & Pacific,High income,Very High,Good,2010s,0.023657777795947067,0.6832004723944495,-0.77,0.5635796545105566
Australia,Adelaide,2015,96.59,52.83,105.75,2.62,0.79,5.11,6.85,304.94,3206.22,164.71,36.55,79.17,East Asia & Pacific,High income,Very High,Moderate,2010s,0.05135600301819022,0.49957446808510636,-1.83,1.2048147686166895
Australia,Adelaide,2015,119.65,83.09,92.25,3.46,1.41,9.91,5.99,390.99,2933.72,176.1,37.85,77.81,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.06000572456656853,0.9007046070460705,-2.05,1.5182083491942646
Australia,Adelaide,2015,61.59,33.31,50.63,3.15,2.33,6.11,3.88,498.74,1694.29,124.48,42.14,81.89,East Asia & Pacific,High income,High,Moderate,2010s,0.07342696529797262,0.657910329843966,-0.8199999999999998,0.7430329352153456
Australia,Adelaide,2015,78.77,48.03,79.9,0.73,2.01,9.98,4.58,342.4,1183.56,166.98,44.11,80.43,East Asia & Pacific,High income,High,Moderate,2010s,0.14096373336935233,0.6011264080100125,1.2799999999999998,0.9673339064226942
Australia,Adelaide,2015,17.57,9.68,18.64,2.19,0.97,5.83,2.87,439.56,707.92,105.3,40.01,84.71,East Asia & Pacific,High income,High,Good,2010s,0.14853580093663601,0.51931330472103,-1.22,0.20499358301248397
Australia,Adelaide,2015,42.49,18.03,42.54,1.15,2.31,8.85,5.19,318.46,2711.22,156.36,43.08,82.8,East Asia & Pacific,High income,Very High,Good,2010s,0.05765019061875513,0.4238363892806771,1.1600000000000001,0.5070405727923628
Australia,Adelaide,2015,46.82,27.0,50.93,2.03,1.94,7.92,2.04,477.38,3740.52,120.08,40.04,82.83,East Asia & Pacific,High income,Very High,Good,2010s,0.03209390835810045,0.5301394070292559,-0.08999999999999986,0.5585112728140285
Australia,Adelaide,2015,69.315,58.26,60.59,2.34,1.69,3.37,4.61,267.03,4466.84,111.21,38.27,79.93,East Asia & Pacific,High income,Very High,Moderate,2010s,0.02489122260421143,0.9615448093744842,-0.6499999999999999,0.8564809094279006
Australia,Adelaide,2015,114.03,52.84,99.46,2.55,0.54,4.2,2.6,186.67,4448.6,80.46,34.61,81.22,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.018082524271844657,0.5312688517997185,-2.01,1.3868888348333739
Australia,Adelaide,2015,77.86,48.76,82.47,0.55,2.23,7.53,7.66,309.83,3869.51,187.28,42.27,80.43,East Asia & Pacific,High income,Very High,Moderate,2010s,0.04838638835708989,0.5912453013216927,1.68,0.9561586638830897
Australia,Adelaide,2015,89.98,60.83,82.01,1.62,2.8,7.0,3.07,101.28,980.2,138.52,45.82,79.2,East Asia & Pacific,High income,High,Moderate,2010s,0.1411740725642071,0.7417388123399584,1.1799999999999997,1.1219451371571072
Australia,Adelaide,2015,110.27,54.55,121.05,0.83,1.86,7.01,7.23,219.86,4234.97,150.54,40.51,78.09,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.035538495315122626,0.4506402313093763,1.0300000000000002,1.3942344164875458
Australia,Adelaide,2015,59.25,29.15,53.06,0.67,1.79,6.25,4.37,127.84,3530.63,136.76,41.17,81.31,East Asia & Pacific,High income,Very High,Moderate,2010s,0.038724328426250766,0.5493780625706747,1.12,0.7198396306645608
Australia,Adelaide,2015,33.9,18.9,27.5,0.59,1.98,5.65,2.19,431.29,1320.18,96.29,44.04,83.6,East Asia & Pacific,High income,High,Good,2010s,0.0728818177689641,0.6872727272727273,1.3900000000000001,0.40070921985815605
Australia,Adelaide,2015,105.76,72.48,85.04,2.08,2.72,8.6,4.64,148.02,3677.84,137.39,42.39,78.25,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.03734601124267432,0.8523047977422389,0.6400000000000001,1.3345110410094638
Australia,Adelaide,2015,59.17,28.61,47.73,0.65,2.77,9.98,2.31,204.55,4028.72,125.62,43.65,81.46,East Asia & Pacific,High income,Very High,Moderate,2010s,0.031173381773423468,0.5994133668552274,2.12,0.7175600291050207
Australia,Adelaide,2016,108.5,58.65,94.51,0.99,1.6,6.06,7.26,225.3,1942.23,151.73,41.89,78.22,East Asia & Pacific,High income,High,Sensitive,2010s,0.07808133880189169,0.6205692519310125,0.6100000000000001,1.3696036354455945
Australia,Adelaide,2016,93.83,63.82,94.86,0.54,0.51,7.1,3.57,390.45,3814.89,146.38,37.16,79.53,East Asia & Pacific,High income,Very High,Moderate,2010s,0.03836064456784656,0.6727809403331225,-0.030000000000000027,1.1651558425431516
Australia,Adelaide,2016,52.52,24.23,41.27,2.55,2.7,5.02,5.96,496.28,4520.17,155.12,41.01,82.49,East Asia & Pacific,High income,Very High,Moderate,2010s,0.034309703019351184,0.5871092803489217,0.15000000000000036,0.6290573721403762
Australia,Adelaide,2016,113.71,45.68,96.37,3.44,2.36,7.28,5.73,179.49,2476.1,133.75,41.16,77.78,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.05399459044850834,0.4740064335374079,-1.08,1.4433866463569434
Australia,Adelaide,2016,113.24,47.74,119.38,3.11,2.88,7.96,6.2,346.13,3046.64,175.02,42.49,78.14,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.05742804268220657,0.3998994806500252,-0.22999999999999998,1.4308819812989637
Australia,Adelaide,2016,92.75,54.14,82.88,0.68,2.91,9.19,4.79,160.33,4262.95,164.53,43.79,79.14,East Asia & Pacific,High income,Very High,Moderate,2010s,0.03858628736265669,0.6532335907335908,2.23,1.1573496381332669
Australia,Adelaide,2016,52.03,36.29,52.98,2.31,2.99,9.22,2.54,344.76,3338.15,130.52,43.32,82.22,East Asia & Pacific,High income,Very High,Moderate,2010s,0.03908779180330324,0.6849754624386561,0.6800000000000002,0.625210285988945
Australia,Adelaide,2016,86.9,45.02,82.42,0.87,0.65,9.71,6.49,246.05,3838.31,163.98,37.24,79.7,East Asia & Pacific,High income,Very High,Moderate,2010s,0.042710799596802546,0.5462266440184421,-0.21999999999999997,1.076827757125155
Australia,Adelaide,2016,54.87,23.72,50.0,2.26,1.47,7.59,3.8,271.02,3083.75,149.0,39.06,81.88,East Asia & Pacific,High income,Very High,Moderate,2010s,0.04830213145311613,0.4744,-0.7899999999999998,0.6620415057915058
Australia,Adelaide,2016,109.0,67.68,96.0,3.08,1.07,5.45,2.51,121.7,4769.17,122.15,35.38,77.98,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.025607053836655718,0.7050000000000001,-2.01,1.3800962268928842
Australia,Adelaide,2016,42.84,26.43,43.84,2.18,2.93,3.7,5.64,362.73,2473.03,111.08,44.14,82.87,East Asia & Pacific,High income,Very High,Good,2010s,0.04489840462726805,0.6028740875912408,0.75,0.5107905091212591
Australia,Adelaide,2016,88.15,36.91,95.11,0.94,1.51,9.77,3.16,394.4,1595.95,137.47,41.99,79.91,East Asia & Pacific,High income,High,Moderate,2010s,0.08608284542408967,0.3880769635159289,0.5700000000000001,1.0894821406501052
Australia,Adelaide,2016,51.34,30.34,54.71,1.13,1.07,5.01,3.01,157.13,4451.49,91.29,37.64,81.89,East Asia & Pacific,High income,Very High,Moderate,2010s,0.020503134201312077,0.5545604094315482,-0.05999999999999983,0.6193750754011341
Australia,Adelaide,2016,68.73,30.97,61.84,1.74,2.64,5.2,4.77,415.7,2833.59,135.36,43.34,81.25,East Asia & Pacific,High income,Very High,Moderate,2010s,0.047752937814639865,0.5008085381630012,0.9000000000000001,0.8356231003039514
Australia,Adelaide,2016,52.12,34.65,44.3,3.34,1.96,6.25,3.2,349.77,183.51,77.42,42.37,82.23,East Asia & Pacific,High income,Moderate,Moderate,2010s,0.4195978537748632,0.7821670428893905,-1.38,0.6262165084705034
Australia,Adelaide,2016,68.9,39.06,51.7,0.55,0.81,4.58,7.64,415.64,3989.38,164.81,37.9,81.24,East Asia & Pacific,High income,Very High,Moderate,2010s,0.04130183090332249,0.7555125725338492,0.26,0.8377918287937745
Australia,Adelaide,2016,80.76,43.62,74.94,3.89,1.68,4.01,4.16,399.99,226.73,108.79,40.92,80.42,East Asia & Pacific,High income,Moderate,Moderate,2010s,0.4777148377464542,0.5820656525220176,-2.21,0.9918938835666913
Australia,Adelaide,2016,43.9,25.67,40.57,3.53,2.35,3.61,4.65,167.44,309.59,100.74,43.22,82.41,East Asia & Pacific,High income,Moderate,Good,2010s,0.32435042982710327,0.6327335469558788,-1.1799999999999997,0.5263157894736842
Australia,Adelaide,2016,27.64,18.57,23.5,0.76,1.43,3.93,4.13,455.3,3867.71,114.64,39.66,84.07,East Asia & Pacific,High income,Very High,Good,2010s,0.029632616556940168,0.7902127659574468,0.6699999999999999,0.3249088985541319
Australia,Adelaide,2016,50.09,25.65,44.27,1.51,0.56,7.76,2.52,414.26,747.21,113.7,39.44,82.49,East Asia & Pacific,High income,High,Moderate,2010s,0.15196268427313186,0.5793991416309012,-0.95,0.5999520900706672
Australia,Adelaide,2016,52.4,36.38,56.17,0.67,2.25,7.99,7.99,327.93,371.17,165.96,45.72,82.16,East Asia & Pacific,High income,Moderate,Moderate,2010s,0.44592524921406884,0.6476766957450597,1.58,0.6301106301106301
Australia,Adelaide,2016,31.75,15.33,34.21,2.11,1.93,6.65,2.23,177.5,1534.56,118.37,42.15,83.24,East Asia & Pacific,High income,High,Good,2010s,0.07708588397718097,0.44811458637825197,-0.17999999999999994,0.3768993352326686
Australia,Adelaide,2016,99.3,64.89,71.44,2.6,1.45,3.25,5.4,292.17,4002.48,110.42,37.75,78.96,East Asia & Pacific,High income,Very High,Moderate,2010s,0.027581004526062325,0.9083146696528556,-1.1500000000000001,1.241870935467734
Australia,Adelaide,2016,60.05,39.66,50.81,2.54,1.4,3.13,7.6,379.79,4666.99,158.59,36.98,81.76,East Asia & Pacific,High income,Very High,Moderate,2010s,0.03397393739061138,0.7805550088565242,-1.1400000000000001,0.7255920734654422
Australia,Adelaide,2016,37.14,19.05,31.51,0.51,1.64,4.4,3.34,422.4,3935.25,100.44,40.46,83.37,East Asia & Pacific,High income,Very High,Good,2010s,0.025516671959352175,0.6045699777848302,1.13,0.44020386393267746
Australia,Adelaide,2016,84.99,37.72,60.55,1.78,1.34,5.85,7.47,465.52,4951.53,157.11,37.29,80.26,East Asia & Pacific,High income,Very High,Moderate,2010s,0.031723179869682774,0.6229562345169282,-0.43999999999999995,1.0459020428254984
Australia,Adelaide,2016,114.4,46.23,120.62,1.09,1.62,8.53,3.46,209.47,3707.03,146.87,40.07,77.79,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.03960863315561093,0.38326977284032493,0.53,1.4519609087447645
Australia,Adelaide,2016,128.36,58.3,101.88,3.83,0.68,8.89,4.35,345.45,4851.27,155.48,33.37,77.13,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.0320427346376026,0.5722418531605811,-3.15,1.6429028542173303
Australia,Adelaide,2016,40.02,20.54,43.04,3.04,1.4,4.62,3.45,486.33,4581.64,106.49,36.58,83.3,East Asia & Pacific,High income,Very High,Good,2010s,0.0232376970479898,0.47723048327137546,-1.6400000000000001,0.4747330960854093
Australia,Adelaide,2016,55.72,25.53,45.01,1.3,1.15,5.98,5.2,258.52,1664.05,152.77,40.49,81.8,East Asia & Pacific,High income,High,Moderate,2010s,0.09175099846851446,0.5672072872694958,-0.15000000000000013,0.6729468599033817
Australia,Adelaide,2016,71.03,43.38,65.58,1.09,1.2,5.03,2.65,398.34,4811.275,116.98,38.24,81.06,East Asia & Pacific,High income,Very High,Moderate,2010s,0.024308668976731382,0.6614821591948765,0.10999999999999988,0.865586156470875
Australia,Adelaide,2016,57.45,30.72,53.2,2.54,0.64,4.3,2.69,171.75,2325.53,99.68,37.07,81.51,East Asia & Pacific,High income,Very High,Moderate,2010s,0.04284492355568164,0.5774436090225563,-1.9,0.6962792388801358
Australia,Adelaide,2016,42.8,23.57,33.62,0.7,2.78,9.02,5.11,262.76,2049.33,153.04,45.6,82.67,East Asia & Pacific,High income,Very High,Good,2010s,0.07464164305258178,0.7010707911957169,2.08,0.5115334050436238
Australia,Adelaide,2016,52.5,28.92,48.81,0.58,1.98,5.53,6.15,122.64,1208.42,143.11,44.16,81.22,East Asia & Pacific,High income,High,Moderate,2010s,0.11832944717302508,0.592501536570375,1.4,0.6385307711019217
Australia,Adelaide,2016,58.16,29.56,51.14,2.47,1.43,4.62,6.72,277.09,160.39,126.7,41.66,81.68,East Asia & Pacific,High income,Moderate,Moderate,2010s,0.7850548361112833,0.5780211184982401,-1.0400000000000003,0.7034349298500241
Australia,Adelaide,2016,90.01,46.14,77.76,3.36,1.42,6.91,4.16,226.91,1901.78,143.79,39.01,79.45,East Asia & Pacific,High income,High,Moderate,2010s,0.07556837889824362,0.5933641975308641,-1.94,1.1188315724052207
Australia,Adelaide,2016,70.25,47.36,68.04,2.23,0.98,7.99,5.69,238.22,3175.37,143.86,37.53,80.79,East Asia & Pacific,High income,Very High,Moderate,2010s,0.045290693464552306,0.6960611405055849,-1.25,0.8589069568406895
Australia,Adelaide,2016,24.59,14.61,19.3,3.49,1.56,7.27,2.06,490.28,599.45,116.99,40.58,84.34,East Asia & Pacific,High income,High,Good,2010s,0.19483720542926136,0.7569948186528497,-1.9300000000000002,0.2881415514412936
Australia,Adelaide,2017,46.07,28.99,40.68,3.33,2.41,4.84,3.19,255.89,439.12,107.92,43.46,82.44,East Asia & Pacific,High income,Moderate,Good,2010s,0.24520585294919567,0.7126352015732547,-0.9199999999999999,0.5521332694151486
Australia,Adelaide,2017,112.01,52.13,92.14,3.95,1.88,5.92,4.98,251.37,4617.47,117.94,37.07,78.04,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.025536595452606597,0.565769481224224,-2.0700000000000003,1.4171305668016194
Australia,Adelaide,2017,80.48,43.46,72.41,0.91,2.2,6.27,7.26,223.3,869.08,159.49,44.83,80.08,East Asia & Pacific,High income,High,Moderate,2010s,0.18330498344979773,0.600193343460848,1.29,0.9925999013320178
Australia,Adelaide,2017,43.85,23.98,43.97,0.78,2.9,7.05,6.62,147.88,3078.76,141.44,44.83,82.37,East Asia & Pacific,High income,Very High,Good,2010s,0.045925656544665815,0.5453718444393905,2.12,0.5259685738275158
